,real_world_characters
0,"""Stone Cold"" Steve Austin"
1,'N Sync (character)
2,3 Little Pigs
3,50 Cent (character)
4,Aaron Burr
5,Abraham Lincoln
6,Adam
7,Adam Savage (character)
8,Agnes Moorehead
9,Ahura Mazda
10,Al Gore
11,Alan Moore (character)
12,Albert Einstein
13,Buzz Aldrin
14,Buzz Aldrin (character)
15,Alex Salmond
16,Alexander Graham Bell
17,Alexandria Ocasio-Cortez
18,Alfred Hitchcock
19,Steve Allen (character)
20,Woody Allen
21,Anderson Cooper (character)
22,Andrew Rannells (character)
23,Andy Griffith
24,Andy Murray
25,Category:Animals
26,Paul Anka (character)
27,Anthony Hopkins
28,Art Garfunkel
29,Art Spiegelman (character)
30,Ayanna Pressley
31,Alec Baldwin (character)
32,Behind the Laughter/References
33,Saul Bellow
34,Benedict Arnold
35,Benito Mussolini
36,Tony Bennett (character)
37,Bernie Sanders
38,Bette Midler (character)
39,Betty White (character)
40,Jagdish Bhagwati
41,Big Bird
42,Biggie Smalls
43,Bill Cosby
44,Bill James (character)
45,Billy Crystal
46,Billy Ocean
47,Blackbeard
48,Tony Blair
49,Tony Blair (character)
50,Bob Denver (character)
51,Bob Dylan
52,Bob Newhart (character)
53,Wade Boggs (character)
54,Bonnie and Clyde
55,Bono
56,Ernest Borgnine (character)
57,Branford Marsalis
58,Richard Branson (character)
59,"Bret ""The Hit-man"" Hart (character)"
60,Bret Hart (character)
61,Tom Brokaw
62,Brooke Shields (character)
63,Bruce Vilanch (character)
64,Bryce Dallas Howard
65,Gautama Buddha
66,Buddy Holly
67,Barbara Bush
68,George H. W. Bush
69,George W. Bush
70,Jeb Bush
71,David Byrne (character)
72,Cap'n Crunch
73,Carrie Fisher
74,Jimmy Carter
75,Fidel Castro
76,Category:Celebrities
77,Cesar Romero
78,Channing Tatum
79,Charles Bronson
80,Charles Lindbergh
81,Charlie Rose (character)
82,Chris Christie
83,Chris Farley
84,Jesus Christ
85,Christopher Columbus
86,Christopher Walken
87,Cleatus the Football Robot
88,Bill Clinton
89,Hillary Clinton
90,Clippy
91,Clive Owen
92,James Coco
93,Gary Coleman (character)
94,Conan O'Brien (character)
95,Gerry Cooney (character)
96,Count Orlok
97,Count von Count
98,Bing Crosby
99,David Crosby (character)
100,Cyndi Lauper (character)
101,Cypress Hill (characters)
102,César Chávez
103,Dalai Lama
104,Dan Castellaneta (character)
105,Dan Marino
106,Dan Rather
107,Danica Patrick
108,Darryl Strawberry (character)
109,Charles Darwin
110,Dave Grohl
111,David Bowie
112,David Hyde Pierce (character)
113,David Letterman
114,David Spade
115,Dean Martin
116,Dick Cavett (character)
117,Walt Disney
118,Dixie Chicks
119,Avinash Dixit
120,Assia Djebar
121,Bob Dole
122,Dolly Parton (character)
123,Donald Trump (character)
124,Dr. Demento (character)
125,Dr. Joyce Brothers (character)
126,Dwight D. Eisenhower
127,Eartha Kitt (character)
128,"Ed Begley, Jr. (character)"
129,Ed McMahon (character)
130,Edgar Winter
131,Carmen Electra (character)
132,Elisha Gray
133,Queen Elizabeth II
134,Elizabeth Taylor (character)
135,Ellen DeGeneres (character)
136,Elon Musk (character)
137,Elvis Presley
138,Eminem
139,Emperor Akihito
140,Ernest Hemingway
141,Ethan Ballantyne
142,Eve
143,Fan Man
144,Farrah Fawcett (character)
145,Mia Farrow
146,B. L. Feringa
147,Gerald Ford
148,Frank Gehry (character)
149,Benjamin Franklin
150,Dennis Franz (character)
151,Fred Rogers
152,Frederick Ives
153,Freeman Gosden
154,Gabriel (Angel)
155,Mahatma Gandhi
156,Gary Busey (Character)
157,Bill Gates
158,Gene Siskel (character)
159,George Burns
160,George Burns (character)
161,George C. Scott
162,George Meany
163,George Meyer (character)
164,Ghengis Khan
165,Mel Gibson (character)
166,Malcolm Gladwell
167,God
168,Goliath
169,Gordie Howe
170,Robert Goulet (character)
171,Green Day
172,User:GREGORY FATULA
173,Matt Groening (character)
174,Hadley Richardson
175,Mark Hamill (character)
176,Tom Hanks (character)
177,Kurt Hardwick
178,George Harrison (character)
179,Harry Houdini
180,Tony Hawk (character)
181,Stephen Hawking (character)
182,Helen Reddy
183,Helmut Kohl
184,Elhanan Helpman
185,Henry Kissinger
186,King Henry VIII
187,Charlton Heston
188,Adolf Hitler
189,Bengt R. Holmström
190,Homer's XXXercise Tape
191,Bob Hope (character)
192,James Horner
193,Ron Howard (character)
194,Huell Howser (character)
195,Hudson Brothers
196,Hugh Hefner (character)
197,Ilhan Omar
198,Category:Insects
199,Isaac Newton
200,Isabel Sanford (character)
201,Jack Nicholson
202,Jack Nicklaus
203,Jack the Ripper
204,James Brown (character)
205,James Earl Jones (character)
206,James Woods (Family Guy)
207,Jamie Hyneman (character)
208,Janet Reno (character)
209,Jason Bateman (character)
210,Jay Leno (character)
211,Jeff Beck
212,Jeff Bezos
213,Jeff Ross (character)
214,Jennifer Garner
215,Jerry Springer (character)
216,Jessica Simpson (character)
217,Jim Messina
218,Jimi Hendrix
219,Joe Biden
220,Joe Frazier (character)
221,John Herbert Dillinger
222,John Lennon
223,John Oates
224,John Swartzelder
225,John Travolta
226,John Updike (character)
227,John Wilkes Booth
228,Elton John (character)
229,Johnny Unitas (character)
230,Johnny Winter
231,Jon Stewart (character)
232,Joseph Stalin
233,Josh Groban
234,Judd Apatow
235,Judith Owen (character)
236,Julia Roberts
237,Julian Assange (character)
238,Justin Timberlake (character)
239,Jóhanna Sigurðardóttir
240,Kaiser Wilhelm II
241,Kamala Harris
242,Kareem Abdul-Jabbar
243,Katherine Blodgett
244,Katy Perry (character)
245,Keith Richards
246,Ken Jennings (character)
247,John F. Kennedy
248,Kid Rock (character)
249,Kim Basinger (character)
250,Kim Jong-il
251,Kim Jong-un
252,Kitty Carlisle
253,Kobe Bryant
254,Stanley Kubrick
255,Lady Gaga (character)
256,Ann Landers
257,Larry King (character)
258,Jude Law
259,Denis Leary (character)
260,Lee Majors
261,Stan Lee (character)
262,Leonardo DiCaprio
263,Lewis Lapham
264,Linda McCartney (character)
265,Lisa Leslie (character)
266,List of guest stars
267,Lizzie Borden
