,characters,categ
0,"""Something New"" Spuckler Baby",Babies
1,Bart and Darcy's baby,Babies
2,Baby Bear,Babies
3,Bouncing Battle Baby,Babies
4,Axel Bouvier,Babies
5,Ling Bouvier,Babies
6,BrainBaby,Babies
7,Camping Baby,Babies
8,Candy Baby,Babies
9,Cookie Kwan and Joe Quimby's son,Babies
10,Corduroy,Babies
11,Crying Baby,Babies
12,Dara Spuckler,Babies
13,Darcy's Baby,Babies
14,Dolly Bouvier,Babies
15,Dr. Hibbert's Third Son,Babies
16,File:Evie simpson.png,Babies
17,Fat Baby,Babies
18,Frankie the Squealer’s Son,Babies
19,Gloria and Snake Jailbird's child,Babies
20,Holly Bouvier,Babies
21,Homer Jr.,Babies
22,Hudson,Babies
23,Hungry Spuckler Baby,Babies
24,Johnny Tightlips’ daughter,Babies
25,Kearney's Other Son,Babies
26,Krusty's son,Babies
27,Leroy Simpson,Babies
28,Lisa and Nelson's children,Babies
29,Lolly Bouvier,Babies
30,"Maggie Simpson, Jr.",Babies
31,Maggie Ziff,Babies
32,Mall Santa Boy,Babies
33,Mayor Quimby's secret family,Babies
34,Melvin Van Horne's grandchildren,Babies
35,Moonstar Bouvier-Jones,Babies
36,Nabendu Nahasapeemapetilon,Babies
37,The Nahasapeemapetilon Octuplets,Babies
38,Anoop Nahasapeemapetilon,Babies
39,Gheet Nahasapeemapetilon,Babies
40,Poonam Nahasapeemapetilon,Babies
41,Pria Nahasapeemapetilon,Babies
42,Sandeep Nahasapeemapetilon,Babies
43,Sashi Nahasapeemapetilon,Babies
44,Uma Nahasapeemapetilon,Babies
45,Noah's Sister,Babies
46,Normal Head Joe Spuckler,Babies
47,Other Maggie Simpson,Babies
48,Outlands Maggie,Babies
49,Patrick Ewing Wegman,Babies
50,Pippy Roulette,Babies
51,Polly Bouvier,Babies
52,Professor Frink's Infant Son,Babies
53,Rumor Spuckler,Babies
54,Maagi Sampsan,Babies
55,Gerald Samson,Babies
56,Sherri and Terri's children,Babies
57,Sherri and Terri's unnamed sons,Babies
58,Lotus Simpson,Babies
