,title,summaries,airdates,rankings,total_votes,links
0,Simpsons Roasting on an Open Fire,Homer is forced to become a department store Santa when Marge spends the family's Christmas savings on removing Bart's tattoo.,22 Dec. 1990,8.1,7529,https://www.imdb.com/title/tt0348034/
1,Bart the Genius,Bart ends up at a school for gifted children after cheating on an IQ test.,14 Jan. 1990,7.7,5015,https://www.imdb.com/title/tt0756593/
2,Homer's Odyssey,"After losing his job, Homer contemplates ending it all, until he discovers a new life path as a safety advocate.",21 Jan. 1990,7.3,4427,https://www.imdb.com/title/tt0701124/
3,There's No Disgrace Like Home,"After being embarrassed by the rest of the family at a company picnic, Homer becomes obsessed with improving their behavior towards each other.",28 Jan. 1990,7.7,4353,https://www.imdb.com/title/tt0756399/
4,Bart the General,"After being beaten up by Nelson Muntz one too many times, Bart turns to Grampa for help, and soon leads a rebellion against the school bully.",4 Feb. 1990,7.9,4687,https://www.imdb.com/title/tt0701059/
5,Moaning Lisa,"A depressed Lisa's spirit is lifted when she meets a jazz-man, Bleeding Gums Murphy.",11 Feb. 1990,7.6,4228,https://www.imdb.com/title/tt0701178/
6,The Call of the Simpsons,"Homer takes the family camping, but it soon becomes a misadventure when they lose their equipment and Homer is mistaken for Bigfoot.",18 Feb. 1990,7.8,4086,https://www.imdb.com/title/tt0701228/
7,The Telltale Head,Bart gets more than he bargained for when he saws the head off a statue of the town's founder.,25 Feb. 1990,7.6,3934,https://www.imdb.com/title/tt0756398/
8,Life on the Fast Lane,Marge contemplates an affair with a handsome bowling instructor.,18 Mar. 1990,7.4,3902,https://www.imdb.com/title/tt0701152/
9,Homer's Night Out,"After a photograph of Homer canoodling with an exotic dancer is distributed throughout Springfield, he finds himself kicked out of the house by Marge.",25 Mar. 1990,7.3,3782,https://www.imdb.com/title/tt0701123/
10,The Crepes of Wrath,"Bart is sent to France on a student exchange program, where he's treated like a slave; An Albanian student takes Bart's place in the family.",15 Apr. 1990,7.8,3831,https://www.imdb.com/title/tt0701232/
11,Krusty Gets Busted,"After Krusty is found guilty of robbing the Kwik-E-Mart following Homer's eyewitness testimony, Bart and Lisa set out to prove his innocence.",29 Apr. 1990,8.3,4230,https://www.imdb.com/title/tt0701147/
12,Some Enchanted Evening,"Homer and Marge enjoy a night on the town, leaving the kids with a diabolical babysitter, with a surprising secret.",13 May 1990,7.7,4169,https://www.imdb.com/title/tt0701215/
13,Bart Gets an F,"Mrs. Krabappel, fed up with Bart's lackadaisical approach to his studies, gives him an ultimatum: shape up or repeat the fourth grade.",11 Oct. 1990,8.2,4223,https://www.imdb.com/title/tt0763024/
14,Simpson and Delilah,Homer lies on a medical insurance form in order to obtain a miracle hair restoring drug.,18 Oct. 1990,8.2,4320,https://www.imdb.com/title/tt0701211/
15,Treehouse of Horror,"The Simpsons move into a cursed house, then are abducted by aliens, before Homer is ensconced in a tale by Edgar Allen Poe.",25 Dec. 1992,8.2,4454,https://www.imdb.com/title/tt0701278/
16,Two Cars in Every Garage and Three Eyes on Every Fish,"After the power plant experiences bad publicity and is threatened with closure, Mr. Burns decides to run for Governor in order to have power over the law.",1 Nov. 1990,8.0,3666,https://www.imdb.com/title/tt0757023/
17,Dancin' Homer,Homer's heckling of the Springfield Isotopes baseball team during one of their games inadvertently leads to his appointment as the new team mascot.,8 Nov. 1990,7.4,3492,https://www.imdb.com/title/tt0701084/
18,Dead Putting Society,"In an attempt to show up Ned Flanders, Homer pits Bart against Ned's son, Todd, in a miniature golf competition.",15 Nov. 1990,8.0,3444,https://www.imdb.com/title/tt0767442/
19,Bart vs. Thanksgiving,"On Thanksgiving, Bart runs away after fighting with Lisa.",22 Nov. 1990,7.7,3365,https://www.imdb.com/title/tt0701062/
20,Bart the Daredevil,"After seeing a motorcycle daredevil at a monster truck show, Bart becomes a death-defying daredevil skateboarder.",6 Dec. 1990,8.3,3723,https://www.imdb.com/title/tt0767438/
