;categ_location;location
863;Lakes;Catfish Lake
864;Lakes;Lake Springfield
865;Lakes;Lake Tahoe
866;Lakes;Loch Ness
867;Lakes;Lower Springfield Lake
868;Lakes;Nuclear Lake
869;Lakes;Terror Lake
1038;Mountains;Challenge Peak
1039;Mountains;Mount Carlmore
1040;Mountains;Mt. Embolism
1041;Mountains;Mt. Springfield
1042;Mountains;Mt. Useful
1043;Mountains;The Murderhorn
1044;Mountains;Springfield Mountains
1045;Mountains;Widow's Peak
1072;Natural Landmarks;Alkali Flats
1073;Natural Landmarks;Baby Seal Beach
1074;Natural Landmarks;Carl's Dad Caverns
1075;Natural Landmarks;Catfish Lake
1076;Natural Landmarks;Christmas Tree Farm
1077;Natural Landmarks;Echo Canyon (location)
1078;Natural Landmarks;Evergreen Terrace Cliff
1079;Natural Landmarks;Freestone Family Peach Orchard
1080;Natural Landmarks;Geezer Rock
1081;Natural Landmarks;Giant's Causeway
1082;Natural Landmarks;Grand Canyon
1083;Natural Landmarks;Grassy Hilled Area
1084;Natural Landmarks;Holding Hands Point
1085;Natural Landmarks;Imaginary Tree
1086;Natural Landmarks;Indian Burial Mound
1087;Natural Landmarks;Lake Springfield
1089;Natural Landmarks;Lower Springfield Lake
1090;Natural Landmarks;Mount Carlmore
1091;Natural Landmarks;Mount Seldom
1092;Natural Landmarks;Mt. Embolism
1093;Natural Landmarks;Mt. Springfield
1094;Natural Landmarks;Mt. Useful
1095;Natural Landmarks;Mulberry Island
1096;Natural Landmarks;The Murderhorn
1097;Natural Landmarks;New Grand Canyon
1098;Natural Landmarks;Nuclear Lake
1099;Natural Landmarks;Old Fishin' Hole
1100;Natural Landmarks;Restricted Grass
1101;Natural Landmarks;Rolling Rock
1102;Natural Landmarks;Sabertooth Meadow
1103;Natural Landmarks;Satan's Anvil
1104;Natural Landmarks;Shelbyville Bluffs
1105;Natural Landmarks;Springfield Dam
1106;Natural Landmarks;Springfield Forest
1107;Natural Landmarks;Springfield Glacier
1108;Natural Landmarks;Springfield Gorge
1109;Natural Landmarks;Springfield Lemon Tree
1110;Natural Landmarks;Springfield Monument Park
1111;Natural Landmarks;Springfield Mountains
1112;Natural Landmarks;Springfield National Forest
1113;Natural Landmarks;Springfield National Park
1114;Natural Landmarks;Springfield Nature Preserve
1115;Natural Landmarks;Springfield River
1116;Natural Landmarks;Springfield Tar Pits
1117;Natural Landmarks;Springfield Tide Pools
1118;Natural Landmarks;Springfield Tire Yard
1119;Natural Landmarks;Springfield Wetlands
1120;Natural Landmarks;Springfield's oldest redwood tree
1121;Natural Landmarks;Tenderfoot Gorge
1122;Natural Landmarks;Terror Lake
1123;Natural Landmarks;The Webs at Giant Spider Acres
1124;Natural Landmarks;Tongue-Kiss Point
1125;Natural Landmarks;Widow's Peak
1126;Natural Landmarks;X-Mas Trees Slightly Irregular
1128;Parks and recreational areas;Bike Track
1130;Parks and recreational areas;Dimoxinil Beach
1131;Parks and recreational areas;Diz-Nee Historical Park
1132;Parks and recreational areas;Fort Sensible
1133;Parks and recreational areas;Grassy Hilled Area
1134;Parks and recreational areas;Homerland (Theme Park)
1135;Parks and recreational areas;Inspiration Point
1136;Parks and recreational areas;Jebediah Springfield Park
1137;Parks and recreational areas;Klub Krusty
1138;Parks and recreational areas;Mt. Splashmore
1139;Parks and recreational areas;Old Fishin' Hole
1140;Parks and recreational areas;Potato Rock National Park
1141;Parks and recreational areas;Shelbyville Bluffs
1142;Parks and recreational areas;The Simpsons Ride
1143;Parks and recreational areas;Snowball II Municipal Cat Park
1144;Parks and recreational areas;Springfield Arboretum
1145;Parks and recreational areas;Springfield BMX Championship
1146;Parks and recreational areas;Springfield Botanical Gardens
1147;Parks and recreational areas;Springfield Dog Park
1148;Parks and recreational areas;Springfield Forest
1149;Parks and recreational areas;Springfield Monument Park
1150;Parks and recreational areas;Springfield National Forest
1151;Parks and recreational areas;Springfield National Park
1152;Parks and recreational areas;Springfield Nature Preserve
1153;Parks and recreational areas;Springfield Park
1154;Parks and recreational areas;Springfield Public Pool
1157;Parks and recreational areas;Universal Studios
1158;Parks and recreational areas;Veteran's Park
1159;Parks and recreational areas;Waterfront
1748;Beaches;Baby Seal Beach
1749;Beaches;Dimoxinil Beach
1750;Beaches;Miami Beach
1751;Beaches;Sandy Beach
1752;Beaches;Shelbyville Beach
1753;Beaches;Springfield Beach
